,kl_global,kl_adapted,delta,n
26990,1.0522990226745605,0.9447727203369141,0.10752630233764648,5.0
26524,0.6140376925468445,0.496385782957077,0.11765190958976746,8.0
17948,0.7103111743927002,0.6600688695907593,0.05024230480194092,19.0
3583,2.0268726348876953,1.5827531814575195,0.4441194534301758,4.0
14371,0.7759013175964355,0.8617228269577026,-0.08582150936126709,4.0
64684,0.1213812381029129,0.12873221933841705,-0.00735098123550415,4.0
3567,0.153779536485672,0.1742522120475769,-0.020472675561904907,3.0
34554,0.21377553045749664,0.20679035782814026,0.006985172629356384,28.0
42180,2.4510228633880615,2.482699394226074,-0.031676530838012695,4.0
35861,0.8771007061004639,0.5409396886825562,0.3361610174179077,14.0
12251,0.2003256268799305,0.20062734186649323,-0.0003017149865627289,50.0
63760,1.1021003723144531,1.0358842611312866,0.0662161111831665,8.0
30539,0.1542392373085022,0.14469408988952637,0.00954514741897583,8.0
19290,0.46289560198783875,0.48148611187934875,-0.01859050989151001,3.0
24867,1.1282155513763428,0.9858947992324829,0.14232075214385986,8.0
45795,1.7596259117126465,1.7044479846954346,0.055177927017211914,7.0
37816,0.35736483335494995,0.35161659121513367,0.005748242139816284,3.0
37409,1.3708293437957764,1.0582817792892456,0.31254756450653076,14.0
36297,0.8162747919559479,0.770695835351944,0.045578956604003906,36.0
38262,1.8081893920898438,1.3463410139083862,0.4618483781814575,4.0
4606,1.49838387966156,1.4575008153915405,0.04088306427001953,3.0
39050,0.9566931128501892,0.881098747253418,0.07559436559677124,16.0
45579,0.43319839239120483,0.3938640058040619,0.039334386587142944,46.0
61739,1.2406814098358154,1.2339625358581543,0.006718873977661133,4.0
15858,0.15012407302856445,0.15181343257427216,-0.0016893595457077026,15.0
23995,0.21899835765361786,0.20602059364318848,0.012977764010429382,16.0
25021,0.2899739444255829,0.27270960807800293,0.017264336347579956,3.0
26953,1.7951639890670776,1.874489188194275,-0.07932519912719727,3.0
29984,0.3770933747291565,0.3750307857990265,0.002062588930130005,3.0
20547,0.27030783891677856,0.2789752185344696,-0.00866737961769104,4.0
35906,0.28559011220932007,0.30687808990478516,-0.021287977695465088,10.0
840,0.28566187620162964,0.27151477336883545,0.01414710283279419,4.0
30832,0.6032199263572693,0.5739173293113708,0.029302597045898438,8.0
54948,1.8405345678329468,1.47420334815979,0.36633121967315674,8.0
50156,2.4354987144470215,2.391000509262085,0.04449820518493652,3.0
1218,1.4617795944213867,0.7040056586265564,0.7577739357948303,52.0
50772,0.3781517446041107,0.35915252566337585,0.018999218940734863,20.0
9223,0.25327107310295105,0.2563818097114563,-0.003110736608505249,6.0
31321,0.5022076368331909,0.4183673858642578,0.0838402509689331,29.0
61658,1.9851412773132324,1.7027368545532227,0.28240442276000977,4.0
38636,0.2665279507637024,0.2425915002822876,0.023936450481414795,12.0
13539,0.4293667674064636,0.49604472517967224,-0.06667795777320862,3.0
63946,0.6489762663841248,0.6971122026443481,-0.04813593626022339,28.0
57378,0.4678577184677124,0.46187084913253784,0.0059868693351745605,16.0
10599,0.3885881304740906,0.30840665102005005,0.08018147945404053,16.0
27678,0.6813525557518005,0.6028642058372498,0.07848834991455078,7.0
33617,0.23939935863018036,0.22833555936813354,0.011063799262046814,5.0
53454,0.3486136794090271,0.4075915515422821,-0.058977872133255005,10.0
8029,0.4453793168067932,0.4773554801940918,-0.031976163387298584,5.0
55449,0.06507056951522827,0.058426227420568466,0.006644342094659805,3.0
49287,0.46806374192237854,0.5176293849945068,-0.049565643072128296,5.0
39877,1.0179169178009033,0.7938961386680603,0.22402077913284302,4.0
42516,0.9028661251068115,0.47032037377357483,0.4325457513332367,3.0
8651,0.7849052548408508,0.5662477016448975,0.21865755319595337,28.0
31386,0.5547348856925964,0.6244375109672546,-0.0697026252746582,27.0
7041,0.7163727283477783,0.7536627054214478,-0.037289977073669434,23.0
44642,0.49441835284233093,0.5197734832763672,-0.025355130434036255,3.0
58475,0.6257947087287903,0.5512663125991821,0.07452839612960815,37.0
3605,0.1911512017250061,0.20357228815555573,-0.012421086430549622,6.0
61200,0.2682409882545471,0.2670567035675049,0.0011842846870422363,32.0
20198,0.24979129433631897,0.19272617995738983,0.05706511437892914,4.0
33895,0.4955804944038391,0.45321494340896606,0.04236555099487305,8.0
54317,0.12986499071121216,0.1105872243642807,0.019277766346931458,11.0
26349,0.6744297444820404,0.5635898113250732,0.11083993315696716,37.0
9563,0.2983544170856476,0.26113975048065186,0.03721466660499573,3.0
34362,0.493948757648468,0.3973248600959778,0.09662389755249023,4.0
12588,0.1835104525089264,0.11997354030609131,0.06353691220283508,16.0
41695,0.12363826483488083,0.12293379008769989,0.0007044747471809387,13.0
62454,0.9851834177970886,0.9478002786636353,0.03738313913345337,4.0
48899,0.6075704097747803,0.5513992309570312,0.05617117881774902,21.0
50550,0.9400818943977356,0.9045407176017761,0.03554117679595947,3.0
53628,0.632950484752655,0.37130898237228394,0.2616415023803711,20.0
52676,1.0395727157592773,1.1521825790405273,-0.11260986328125,11.0
45357,0.47963207960128784,0.49746188521385193,-0.017829805612564087,23.0
16275,0.9366492629051208,1.0103535652160645,-0.0737043023109436,23.0
56071,0.9017044305801392,1.0665332078933716,-0.16482877731323242,4.0
34153,0.5442713499069214,0.3486793339252472,0.1955920159816742,16.0
65430,0.36700695753097534,0.4404820203781128,-0.07347506284713745,9.0
19195,0.4796345829963684,0.32620105147361755,0.15343353152275085,11.0
1282,0.10548709332942963,0.1020359992980957,0.0034510940313339233,8.0
3108,3.348572015762329,3.3615620136260986,-0.012989997863769531,3.0
10187,0.5942434072494507,0.5592546463012695,0.03498876094818115,14.0
